epoch,iou_score,loss,lr,recall,val_iou_score,val_loss,val_recall
0,0.37207136,0.4829137087391134,1e-04,0.5100323,0.7199183,0.4282261521317238,0.7531927
1,0.5993954,0.4311332281744271,1e-04,0.63806635,0.75974274,0.408542709988217,0.8027698
2,0.6263767,0.40599493786954044,1e-04,0.69389194,0.7647257,0.3897084697734478,0.8466305
3,0.62989134,0.3829644833479011,1e-04,0.75575125,0.7605987,0.38094429706418237,0.8621962
4,0.65309995,0.3686065003275871,1e-04,0.7813214,0.772114,0.3751877781956695,0.8652892
5,0.67515624,0.3558750312056458,1e-04,0.81279814,0.79214185,0.366797874140185,0.87412006
6,0.68356305,0.34851130869304925,1e-04,0.82425535,0.7743979,0.3677979617617851,0.88642555
7,0.66948324,0.3393800279550385,1e-04,0.84969014,0.7559233,0.36190090692320537,0.8957431
8,0.6789097,0.33487913626850696,1e-04,0.85474277,0.78720295,0.35723118518674096,0.9005986
9,0.6880936,0.3300288441149812,1e-04,0.86021113,0.81774735,0.3564288824103599,0.89366
10,0.69742244,0.32701564906981956,1e-04,0.8619933,0.7984294,0.3572535618793133,0.8927837
11,0.6980177,0.32654997510345357,1e-04,0.8631552,0.8051977,0.3564714283444161,0.8982983
12,0.66989803,0.3220450378823699,1e-04,0.87048674,0.76363105,0.3553019581839096,0.8993772
13,0.67346156,0.32213799204481275,1e-04,0.87374425,0.7873971,0.3542035374530526,0.902786
14,0.6768128,0.3191196517201892,1e-04,0.87710595,0.78205687,0.35369991771010467,0.9034267
15,0.69047695,0.3163976450369023,1e-04,0.8812357,0.78819716,0.355705447668253,0.8983816
16,0.7040366,0.31391445279382824,1e-04,0.8839367,0.79279476,0.3533384612826414,0.9108135
17,0.70156217,0.31453918567613554,1e-04,0.8859262,0.8098515,0.35518695656643356,0.8966947
18,0.6993926,0.3128580169327426,1e-04,0.8840816,0.8063656,0.35400074789690417,0.9011223
19,0.7146428,0.3103521336850367,1e-04,0.8881429,0.8026575,0.3534359231937763,0.90526795
20,0.72079027,0.30975368671249925,1e-04,0.888897,0.80033696,0.35371208468148874,0.90426886
21,0.7210589,0.3096095024885839,1e-04,0.88849,0.80673075,0.3528121522692747,0.8997776
22,0.7258384,0.3077137656509876,1e-04,0.8929775,0.8042626,0.3516801651134047,0.9037143
23,0.7286959,0.3070903442669333,1e-04,0.89332676,0.8047277,0.35560078537741374,0.8966644
24,0.7343686,0.3068978479295446,1e-04,0.8936338,0.8082382,0.35271837960842045,0.90826356
25,0.7343672,0.3058356632266128,1e-04,0.8947873,0.7866186,0.35303053329157275,0.90735173
26,0.7355143,0.30668139575343384,1e-04,0.8945694,0.799153,0.3518879559150962,0.9113103
27,0.73665506,0.3045115329717335,1e-04,0.8961328,0.80961514,0.3513880538385968,0.9042867
28,0.7465118,0.30411625529328984,1e-04,0.89645094,0.8198857,0.3519985724327176,0.90222955
29,0.74894994,0.30386985204460326,1e-04,0.8985399,0.8085912,0.3558616007483283,0.89617443
30,0.7463429,0.3031820641144326,1e-04,0.89769465,0.8328113,0.3513685270797375,0.9056344
31,0.75319093,0.3014157800690124,1e-04,0.8988391,0.81892014,0.3520680499631305,0.90563565
32,0.7496251,0.30188083851285147,1e-04,0.89911085,0.7888133,0.3521140196988749,0.90855026
33,0.75868624,0.30137305955092114,1e-04,0.9010766,0.8232785,0.3520089595816856,0.9041733
34,0.75446516,0.301138661867171,1e-04,0.901965,0.80052733,0.3536729978960614,0.9073359
35,0.75764143,0.3008448741676515,1e-04,0.90162027,0.8126038,0.3537722985411799,0.9028951
36,0.7571968,0.29951763453713637,1e-04,0.9027769,0.82289267,0.3511134469231894,0.9085007
37,0.75284207,0.29951415897199984,1e-04,0.9020682,0.81788415,0.35083807415740437,0.90631866
38,0.7660041,0.2987637339453948,1e-04,0.903923,0.8159463,0.3518998255563337,0.91106254
39,0.77592826,0.29697213439564957,1e-04,0.9059054,0.8145683,0.3525681024373964,0.9098881
40,0.7710518,0.2978934374425495,1e-04,0.90531564,0.8176846,0.3510285435720932,0.9088456
41,0.7670881,0.2962950200103877,1e-04,0.90614104,0.8260289,0.3534808470759281,0.89693445
42,0.7672717,0.2969560358477266,1e-04,0.90567774,0.81072253,0.3520134583462116,0.9082773
43,0.7790839,0.2955233599140979,1e-04,0.90762544,0.8226535,0.35028584336125573,0.9083759
44,0.7778974,0.2951435929066257,1e-04,0.9079224,0.83934045,0.3507716849792835,0.9085192
45,0.7734129,0.29521029168053675,1e-04,0.9080653,0.824832,0.34950245604958646,0.911614
46,0.7691981,0.2957949733132856,1e-04,0.9078385,0.82074225,0.3517927499704583,0.9062733
47,0.7761205,0.2946757584679545,1e-04,0.9079519,0.8221706,0.35115391639776006,0.9087331
48,0.77326185,0.2963998660837349,1e-04,0.9067847,0.8288974,0.3504831319631532,0.90840256
49,0.7725269,0.29436344679510384,1e-04,0.90968347,0.81592053,0.35188461112421615,0.90571576
50,0.7819725,0.2941668134248048,1e-04,0.91051626,0.8260616,0.35125562271406485,0.9083446
51,0.77557623,0.29593010468963993,1e-04,0.9077337,0.8270894,0.3513895377170208,0.9033346
52,0.7969166,0.29186456421749635,1e-04,0.9127066,0.8343598,0.3506288604680882,0.90583533
53,0.79459786,0.2930588695433056,1e-04,0.9107859,0.83091193,0.3525589877782866,0.90424347
54,0.7791536,0.2938948027266745,1e-04,0.910007,0.822755,0.3491922540720119,0.90633214
55,0.7969665,0.2672284231766274,1e-04,0.91084796,0.81887114,0.3197066825489665,0.90666085
56,0.7934844,0.2595097073598912,1e-04,0.91342103,0.8325648,0.3172187444775604,0.9049884
57,0.7964285,0.2591489371761941,1e-04,0.91287756,0.82462686,0.31877914694852605,0.9043675
58,0.7955016,0.25831695371552515,1e-04,0.9128163,0.8206273,0.3177048089199288,0.9077187
59,0.79456866,0.2576467100073371,1e-04,0.91340816,0.8233357,0.3177743353122889,0.9039611
60,0.78411305,0.25816012010501144,1e-04,0.91312236,0.8315294,0.3165589948726255,0.90890485
61,0.8041442,0.25600299069233107,1e-04,0.9161888,0.8319036,0.3191035719111908,0.90407693
62,0.80299604,0.2562198671594001,1e-04,0.91554916,0.82645833,0.3176982094382131,0.9103535
63,0.8047846,0.25604639065108803,1e-04,0.9148585,0.81901073,0.31830432456593183,0.9028538
64,0.79676145,0.25507106723492606,1e-04,0.9159184,0.8248656,0.3200716982747233,0.90661985
65,0.80295056,0.25597909798747615,1e-04,0.9156351,0.82344747,0.3193327739488247,0.9081932
66,0.80849934,0.2536087206058335,1e-04,0.9181623,0.82629776,0.3199772588735403,0.9047133
67,0.8021407,0.2543504665556707,1e-04,0.91748935,0.82613415,0.31912147582963457,0.9071619
68,0.80536306,0.25412072738011676,1e-04,0.91782,0.8123588,0.3188123952510745,0.9075642
69,0.79837114,0.2562498388844624,1e-04,0.9160787,0.8228271,0.3203173844620239,0.90409815
70,0.8045447,0.2546758032158801,1e-04,0.917547,0.8282385,0.31993679840897404,0.9062107
71,0.80301076,0.2551334677427484,1e-04,0.916396,0.8392269,0.317551247948824,0.90470177
72,0.80222654,0.25433439343122016,1e-04,0.9176082,0.82641256,0.3196009387110555,0.90385306
73,0.8183631,0.2519758128675452,1e-05,0.92007726,0.8276051,0.3190468927455503,0.90457517
74,0.81775033,0.2508415765406793,1e-05,0.92193836,0.82969934,0.3186979633431102,0.9058493
75,0.82107544,0.25012931110043274,1e-05,0.9219965,0.82813555,0.3187553387048633,0.90568995
76,0.8221647,0.250915025932747,1e-05,0.92124057,0.8307395,0.31811283043650695,0.9074534
77,0.8255609,0.24918800474781738,1e-05,0.92377657,0.8306901,0.31791803933853324,0.9064219
78,0.8169246,0.2501579436163108,1e-05,0.9218018,0.8287128,0.318552473603293,0.9073459
79,0.8211714,0.2501552623876354,1e-05,0.9225538,0.8313123,0.318689466562382,0.905416
80,0.82943356,0.24923426337670862,1e-05,0.9231335,0.83219725,0.3178972338521203,0.9071052
81,0.82749504,0.24935418851020044,1e-05,0.923121,0.83211535,0.3170998335577721,0.90762097
82,0.8315338,0.2490897210020768,1e-05,0.92306465,0.83389884,0.3169593436773433,0.90715665
83,0.82518154,0.24961945728251808,1e-05,0.92316616,0.8342799,0.31764147517293,0.9063645
84,0.82315946,0.24910614815981766,1e-05,0.92335534,0.8305457,0.319186988611554,0.90434104
85,0.8254563,0.24962331498401208,1e-06,0.92267,0.83110213,0.3188194511241691,0.9048289
86,0.8272392,0.25021914092072267,1e-06,0.9229273,0.83201456,0.318126252224279,0.9058275
87,0.829033,0.24977996755848852,1e-06,0.9222618,0.8322033,0.31803171960420384,0.9059179
88,0.8305213,0.24879763072781397,1e-06,0.9244582,0.8318885,0.31831834794476976,0.9057548
89,0.8250166,0.24859196189464183,1e-06,0.9233971,0.83210045,0.3181197747241619,0.90571284
90,0.8342607,0.24792526126430744,1e-06,0.92550075,0.8321375,0.31821644895298534,0.9062489
91,0.82918894,0.24880902939721158,1e-06,0.92428786,0.831773,0.31840232430502424,0.90553117
92,0.82358235,0.24858940902509188,1e-06,0.9234795,0.83174914,0.31843517651391584,0.9057156
93,0.8268799,0.24906493599216142,1e-06,0.9232989,0.8295677,0.3177460695421973,0.9065926
